,Experiment,lab,Language,Subject,Age_months,Age_years,method,Query,Response,cite,KL,KL.assign,Notes
145,SchneiderBarner_20xx,Barner,English,020720-LM,49,4.083333333,titrated,5,5,"Schneider, R.M., Feiman, R., & Barner, D. (unpublished dataset).",5,3,
146,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,"This kid is tricky - if I had to reclassify I would say 1, but it feels borderline"
147,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
148,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
149,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,4,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
150,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
151,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,4,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
152,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
153,SchneiderEtAl_20xx,Barner,English,022619-D,32,2.666666667,titrated,4,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
154,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,Error on 3 
155,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
156,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
157,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
158,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,5,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
159,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
160,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
161,SchneiderEtAl_20xx,Barner,English,030619-T,46,3.833333333,titrated,6,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
162,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,Error on 3 but likely CP
163,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
164,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
165,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
166,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
167,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,6,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
168,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
169,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
170,SchneiderEtAl_20xx,Barner,English,032619-D,36,3,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,2,
171,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,"Tricky one, but I would still say 3"
172,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
173,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
174,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,4,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
175,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,3,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
176,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
177,SchneiderEtAl_20xx,Barner,English,040219-JQ,43,3.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,0,
178,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,Error on 2 but likely CP
179,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,2,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
180,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
181,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
182,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
183,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
184,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
185,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
186,SchneiderEtAl_20xx,Barner,English,041719-LC,41,3.416666667,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,1,
187,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,Error on 4 but likely CP
188,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
189,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
190,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,4,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
191,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
192,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
193,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
194,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
195,SchneiderEtAl_20xx,Barner,English,071019-K,43,3.583333333,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
196,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,Gets an error on 4
197,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
198,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
199,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
200,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
201,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
202,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
203,SchneiderEtAl_20xx,Barner,English,062719-GA,46,3.833333333,titrated,6,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,3,
204,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,"A little tricky, but I would say 3 for this kid"
205,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
206,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
207,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
208,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,5,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
209,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,4,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
210,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
211,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,4,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
212,SchneiderEtAl_20xx,Barner,English,061219-IS,31,2.583333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",3,1,
213,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,Error on 5 but likely CP
214,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
215,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
216,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
217,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,5,7,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
218,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
219,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
220,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
221,SchneiderEtAl_20xx,Barner,English,061219-FL,33,2.75,titrated,6,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",CP,4,
222,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,"Technically meets criteria for 3, but I would maybe call this kid 2"
223,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
224,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
225,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,4,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
226,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,3,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
227,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
228,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
229,SchneiderEtAl_20xx,Barner,English,060419-R,37,3.083333333,titrated,4,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",2,3,
230,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,Little bit of a grey area - 2 in contiguous KL
231,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,2,2,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
232,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,3,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
233,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
234,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,5,5,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
235,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,6,3,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
236,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,5,6,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
237,SchneiderEtAl_20xx,Barner,English,042419-E,40,3.333333333,titrated,4,4,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr.",4,2,
238,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,1,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,Stymied by failure on 5
239,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,2,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
240,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,3,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
241,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,4,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
242,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,5,6,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
243,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,4,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
244,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,5,5,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
245,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,6,6,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
246,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,6,6,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
247,SchneiderYen_20xx,Barner,English,011620-AH,51,4.25,titrated,6,7,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
248,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,1,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,Lower error but likely CP-knower
249,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,2,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
250,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,3,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
251,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,4,5,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
252,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,3,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
253,SchneiderYen_20xx,Barner,English,020420-ZL,60,5,titrated,4,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",CP,4,
