,SID,Age,Sex,Knower_level,highest_count,Experiment,Language
391,090419-E,4.260095825,M,CP,10,Schneider_Barner_UnderReview,English
392,090419-JE,4.511978097,M,4,12,Schneider_Barner_UnderReview,English
393,090419-H,3.797399042,M,CP,10,Schneider_Barner_UnderReview,English
394,083019-EA,4.563997262,M,3,15,Schneider_Barner_UnderReview,English
395,083019-EL,3.843942505,F,NA,NA,Schneider_Barner_UnderReview,English
396,091419-J,3.485284052,M,NA,NA,Schneider_Barner_UnderReview,English
397,091419-A2,4.616016427,F,CP,NA,Schneider_Barner_UnderReview,English
398,091419-O,3.293634497,F,2,NA,Schneider_Barner_UnderReview,English
399,091419-P,4.492813142,F,3,NA,Schneider_Barner_UnderReview,English
400,091419-N,5.483915127,F,CP,29,Schneider_Barner_UnderReview,English
401,091419-A,3.956194387,F,2,19,Schneider_Barner_UnderReview,English
402,091419-L,3.241615332,M,0,NA,Schneider_Barner_UnderReview,English
403,091419-T,4.616016427,F,CP,NA,Schneider_Barner_UnderReview,English
404,091419-S,4.999315537,F,CP,12,Schneider_Barner_UnderReview,English
405,091319-S,3.307323751,M,1,3,Schneider_Barner_UnderReview,English
406,091319-FL,NA,ChangeMe,NA,NA,Schneider_Barner_UnderReview,English
407,091319-A,4.142368241,M,CP,4,Schneider_Barner_UnderReview,English
408,091319-JE,5.377138946,M,CP,29,Schneider_Barner_UnderReview,English
409,100519-E,4.651608487,F,CP,100,Schneider_Barner_UnderReview,English
410,100519-S,5.464750171,F,CP,37,Schneider_Barner_UnderReview,English
411,100519-E2,3.244353183,F,CP,4,Schneider_Barner_UnderReview,English
412,100519-CN,NA,F,4,9,Schneider_Barner_UnderReview,English
413,100519-C,5.171800137,F,CP,100,Schneider_Barner_UnderReview,English
414,100619-A,5.620807666,F,CP,29,Schneider_Barner_UnderReview,English
415,100619-G,4.210814511,M,CP,20,Schneider_Barner_UnderReview,English
416,100619-LY,3.151266256,M,2,10,Schneider_Barner_UnderReview,English
417,100619-J,3.646817248,M,3,10,Schneider_Barner_UnderReview,English
418,100619-E,5.700205339,M,CP,19,Schneider_Barner_UnderReview,English
419,100619-EV,3.290896646,F,CP,9,Schneider_Barner_UnderReview,English
420,101419-L,4.873374401,M,NA,NA,Schneider_Barner_UnderReview,English
421,101419-AR,4.629705681,F,CP,11,Schneider_Barner_UnderReview,English
422,101419-CP,3.575633128,M,1,6,Schneider_Barner_UnderReview,English
423,102019-AJ,4.651608487,F,NA,NA,Schneider_Barner_UnderReview,English
424,102019-C,5.930184805,F,CP,110,Schneider_Barner_UnderReview,English
425,101919-MW,3.93155373,F,CP,29,Schneider_Barner_UnderReview,English
426,101919-MN,3.882272416,F,CP,20,Schneider_Barner_UnderReview,English
427,101919-L,4.20807666,F,CP,NA,Schneider_Barner_UnderReview,English
428,101919-E,4.97467488,F,CP,70,Schneider_Barner_UnderReview,English
429,101919-I,4.728268309,F,CP,39,Schneider_Barner_UnderReview,English
430,101919-SL,4.553045859,M,4,30,Schneider_Barner_UnderReview,English
431,102019-S,5.785078713,Male,CP,100,Schneider_Barner_UnderReview,English
432,102619-NC,3.055441478,F,1,9,Schneider_Barner_UnderReview,English
433,102719-I,4.703627652,F,CP,12,Schneider_Barner_UnderReview,English
434,102619-C2,5.546885695,F,CP,NA,Schneider_Barner_UnderReview,English
435,102619-C,5.363449692,M,CP,59,Schneider_Barner_UnderReview,English
436,102619-M,4.052019165,M,CP,10,Schneider_Barner_UnderReview,English
437,102619-H,4.377823409,F,CP,20,Schneider_Barner_UnderReview,English
438,102619-LR,5.399041752,F,CP,49,Schneider_Barner_UnderReview,English
439,102619-J,3.559206023,M,NA,NA,Schneider_Barner_UnderReview,English
440,102719-E,4.399726215,F,CP,49,Schneider_Barner_UnderReview,English
441,102719-S,5.117043121,F,CP,39,Schneider_Barner_UnderReview,English
442,110219-LC,3.403148528,M,CP,29,Schneider_Barner_UnderReview,English
443,110219-S,5.790554415,M,CP,100,Schneider_Barner_UnderReview,English
444,110219-KS,4.309377139,M,4,12,Schneider_Barner_UnderReview,English
445,110219-MH,4.859685147,F,CP,36,Schneider_Barner_UnderReview,English
446,110319-A,3.427789185,M,3,15,Schneider_Barner_UnderReview,English
447,110219-K,4.605065024,F,CP,20,Schneider_Barner_UnderReview,English
448,110219-G,4.301163587,M,CP,100,Schneider_Barner_UnderReview,English
449,110219-MR,4.284736482,F,CP,100,Schneider_Barner_UnderReview,English
450,110219-E ,4.27652293,M,NA,NA,Schneider_Barner_UnderReview,English
451,110219-ZL,4.325804244,F,CP,100,Schneider_Barner_UnderReview,English
452,111019-L,4.358658453,M,4,13,Schneider_Barner_UnderReview,English
453,111019-M,4.501026694,F,CP,20,Schneider_Barner_UnderReview,English
454,111019-C,3.197809719,F,CP,10,Schneider_Barner_UnderReview,English
455,112219-D,4.928131417,M,CP,39,Schneider_Barner_UnderReview,English
456,112219-F,4.358658453,M,2,6,Schneider_Barner_UnderReview,English
457,112219-L,4.167008898,M,3,29,Schneider_Barner_UnderReview,English
458,112219-E,4.613278576,M,CP,49,Schneider_Barner_UnderReview,English
459,112319-NM,3.707049966,F,CP,29,Schneider_Barner_UnderReview,English
460,112319-LM,3.707049966,F,4,29,Schneider_Barner_UnderReview,English
461,112319-A,4.971937029,F,CP,10,Schneider_Barner_UnderReview,English
462,112319-LD,4.640657084,M,CP,20,Schneider_Barner_UnderReview,English
463,112319-J,3.208761123,M,2,5,Schneider_Barner_UnderReview,English
464,112319-LW,3.422313484,F,1,7,Schneider_Barner_UnderReview,English
465,112319-E,5.541409993,F,CP,39,Schneider_Barner_UnderReview,English
466,102619-NI,4.082135524,F,CP,12,Schneider_Barner_UnderReview,English
467,102619-DR,5.371663244,F,CP,37,Schneider_Barner_UnderReview,English
468,112419-V,5.968514716,F,CP,100,Schneider_Barner_UnderReview,English
469,112419-C,4.375085558,F,CP,10,Schneider_Barner_UnderReview,English
470,112419-W,3.953456537,F,CP,39,Schneider_Barner_UnderReview,English
471,112419-D,4.210814511,M,NA,NA,Schneider_Barner_UnderReview,English
472,113019-S,3.61670089,F,NA,NA,Schneider_Barner_UnderReview,English
473,113019-K,3.627652293,M,CP,11,Schneider_Barner_UnderReview,English
474,113019-LR,5.544147844,F,CP,100,Schneider_Barner_UnderReview,English
475,113019-E,5.880903491,F,CP,29,Schneider_Barner_UnderReview,English
476,113019-G,4.292950034,M,CP,24,Schneider_Barner_UnderReview,English
477,113019-M,4.525667351,F,3,6,Schneider_Barner_UnderReview,English
478,113019-LK,5.059548255,M,CP,14,Schneider_Barner_UnderReview,English
479,113019-S2,4.032854209,F,5,13,Schneider_Barner_UnderReview,English
480,113019-MD,4.388774812,M,CP,28,Schneider_Barner_UnderReview,English
481,112119-LM,3.189596167,F,2,25,Schneider_Barner_UnderReview,English
482,112119-SK,4.59137577,F,0,20,Schneider_Barner_UnderReview,English
483,112119-ZM,3.3045859,F,CP,13,Schneider_Barner_UnderReview,English
484,112119-RM,4.254620123,M,CP,29,Schneider_Barner_UnderReview,English
485,112619-NM,4.353182752,M,CP,100,Schneider_Barner_UnderReview,English
486,112619-NiM,4.216290212,F,CP,22,Schneider_Barner_UnderReview,English
487,112619-LG,4.169746749,M,CP,20,Schneider_Barner_UnderReview,English
488,112619-AS,4.057494867,F,4,10,Schneider_Barner_UnderReview,English
489,121519-A,5.648186174,M,NA,NA,Schneider_Barner_UnderReview,English
490,121519-JD,3.074606434,M,NA,NA,Schneider_Barner_UnderReview,English
491,121519-BG,5.245722108,M,CP,34,Schneider_Barner_UnderReview,English
492,121519-L,3.592060233,F,NA,NA,Schneider_Barner_UnderReview,English
493,121519-GG,3.854893908,F,CP,NA,Schneider_Barner_UnderReview,English
494,121519-J,4.095824778,F,CP,NA,Schneider_Barner_UnderReview,English
495,11220-C,5,M,CP,100,Schneider_Barner_UnderReview,English
496,11220-I,4.249144422,F,CP,40,Schneider_Barner_UnderReview,English
497,11220-A,5.423682409,M,CP,100,Schneider_Barner_UnderReview,English
498,11220-A2,5.437371663,F,CP,17,Schneider_Barner_UnderReview,English
499,11220-P,4.495550992,F,NA,NA,Schneider_Barner_UnderReview,English
500,11220-B (no video),4.944558522,M,CP,100,Schneider_Barner_UnderReview,English
501,11220-A3,NA,F,3,12,Schneider_Barner_UnderReview,English
502,11220-?,NA,M,2,4,Schneider_Barner_UnderReview,English
503,11920-NP,3.071868583,F,2,NA,Schneider_Barner_UnderReview,English
504,YES,3.274469541,M,CP,21,Schneider_Barner_UnderReview,English
505,011920-B,3.876796715,F,NA,NA,Schneider_Barner_UnderReview,English
506,11920-G,3.296372348,M,CP,34,Schneider_Barner_UnderReview,English
507,11920-S,3.668720055,F,3,NA,Schneider_Barner_UnderReview,English
508,11920-J,3.644079398,M,2,6,Schneider_Barner_UnderReview,English
509,11920-R,4.692676249,M,CP,29,Schneider_Barner_UnderReview,English
510,11920-A2,5.905544148,F,CP,60,Schneider_Barner_UnderReview,English
511,12620-Z,4.531143053,F,CP,100,Schneider_Barner_UnderReview,English
512,12620-J,3.953456537,M,5,39,Schneider_Barner_UnderReview,English
513,12620-H,4.41615332,F,CP,25,Schneider_Barner_UnderReview,English
514,12620-H2,3.989048597,F,CP,12,Schneider_Barner_UnderReview,English
515,12620-A,6.428473648,F,CP,100,Schneider_Barner_UnderReview,English
516,12620-L,4.076659822,F,4,29,Schneider_Barner_UnderReview,English
517,2220-A,3.832991102,F,CP,19,Schneider_Barner_UnderReview,English
518,2220-I,4.928131417,M,CP,11,Schneider_Barner_UnderReview,English
519,2220-P,3.214236824,F,CP,20,Schneider_Barner_UnderReview,English
520,2220-H,3.646817248,M,NA,NA,Schneider_Barner_UnderReview,English
521,020520-JB,3.61670089,F,1,12,Schneider_Barner_UnderReview,English
522,020520-AM,3.712525667,F,0,8,Schneider_Barner_UnderReview,English
523,020520-EM,3.704312115,M,0,25,Schneider_Barner_UnderReview,English
524,020520-DE,3.808350445,M,3,10,Schneider_Barner_UnderReview,English
525,020520-EMH,4.030116359,F,1,10,Schneider_Barner_UnderReview,English
526,020520-JB2,3.195071869,M,3,6,Schneider_Barner_UnderReview,English
527,020520-DL,3.956194387,M,1,13,Schneider_Barner_UnderReview,English
528,020520-JZ,3.865845311,F,1,11,Schneider_Barner_UnderReview,English
529,020520-SJ,3.978097194,F,0,8,Schneider_Barner_UnderReview,English
530,020520-EC,4.717316906,F,CP,30,Schneider_Barner_UnderReview,English
531,020520-AS,5.002053388,F,CP,39,Schneider_Barner_UnderReview,English
532,020720-Q,4.922655715,F,CP,22,Schneider_Barner_UnderReview,English
533,020720-J,4.328542094,M,CP,100,Schneider_Barner_UnderReview,English
534,020720-T,3.956194387,M,CP,6,Schneider_Barner_UnderReview,English
535,020720-T2,4.438056126,M,CP,100,Schneider_Barner_UnderReview,English
536,020720-K,5.081451061,M,CP,25,Schneider_Barner_UnderReview,English
537,020720-E,4.648870637,F,CP,39,Schneider_Barner_UnderReview,English
538,020720-JO,4.065708419,M,4,29,Schneider_Barner_UnderReview,English
539,020720-M,5.544147844,F,CP,100,Schneider_Barner_UnderReview,English
540,020720-AM,3.956194387,F,2,13,Schneider_Barner_UnderReview,English
541,020720-LM,4.065708419,M,5,29,Schneider_Barner_UnderReview,English
542,020720-TS,3.956194387,F,3,14,Schneider_Barner_UnderReview,English
543,020720-CVC,5.453798768,M,CP,29,Schneider_Barner_UnderReview,English
544,020720-SM,4.624229979,F,NA,NA,Schneider_Barner_UnderReview,English
545,020720-SJ,4.34770705,M,CP,10,Schneider_Barner_UnderReview,English
546,020720-PT,4.640657084,F,CP,16,Schneider_Barner_UnderReview,English
547,120519-WD,4.783025325,M,CP,59,Schneider_Barner_Unpublished,English
548,120519-MN,4.681724846,F,CP,19,Schneider_Barner_Unpublished,English
549,120519-AY,4.45174538,F,CP,30,Schneider_Barner_Unpublished,English
550,120519-AS,4.777549624,M,CP,59,Schneider_Barner_Unpublished,English
551,120519-CZ,4.52019165,F,CP,29,Schneider_Barner_Unpublished,English
552,120519-BP,4.380561259,F,CP,30,Schneider_Barner_Unpublished,English
553,120519-BR,4.66255989,M,4,20,Schneider_Barner_Unpublished,English
554,120519-N,5.229295003,M,CP,50,Schneider_Barner_Unpublished,English
555,120519-IP,5.256673511,M,4,10,Schneider_Barner_Unpublished,English
556,120719-125,4.153319644,ChangeMe,2,5,Schneider_Barner_Unpublished,English
557,120719-63,3.709787817,ChangeMe,1,6,Schneider_Barner_Unpublished,English
558,120719-110,6.042436687,F,CP,100,Schneider_Barner_Unpublished,English
559,120719-116,5.686516085,ChangeMe,CP,10,Schneider_Barner_Unpublished,English
560,120719-83,4.295687885,M,CP,26,Schneider_Barner_Unpublished,English
561,120719-54,6.064339493,M,CP,29,Schneider_Barner_Unpublished,English
562,120719-?,5.527720739,F,CP,100,Schneider_Barner_Unpublished,English
563,120719-2,5.998631075,M,CP,100,Schneider_Barner_Unpublished,English
564,120719-32,4.865160849,F,NA,13,Schneider_Barner_Unpublished,English
565,120719-30,2.792607803,ChangeMe,CP,30,Schneider_Barner_Unpublished,English
566,120719-18,5.867214237,F,CP,100,Schneider_Barner_Unpublished,English
567,120719-12,3.945242984,M,CP,10,Schneider_Barner_Unpublished,English
568,120719-6,6.168377823,M,CP,10,Schneider_Barner_Unpublished,English
569,120719-62,4.873374401,NA,CP,49,Schneider_Barner_Unpublished,English
570,121619-OP,5.828884326,M,CP,100,Schneider_Barner_Unpublished,English
571,010720-S2,3.550992471,M,4,10,Schneider_Barner_Unpublished,English
572,010720-M,4.438056126,M,CP,56,Schneider_Barner_Unpublished,English
573,010720-C,5.472963723,F,CP,36,Schneider_Barner_Unpublished,English
574,010620-S,4.366872005,M,CP,5,Schneider_Barner_Unpublished,English
575,010620-C,4.892539357,M,CP,12,Schneider_Barner_Unpublished,English
576,010620-L,4.180698152,M,CP,10,Schneider_Barner_Unpublished,English
577,010620-C2,5.908281999,M,CP,15,Schneider_Barner_Unpublished,English
578,010620-M,4.057494867,F,CP,10,Schneider_Barner_Unpublished,English
579,010620-E,4.599589322,M,CP,12,Schneider_Barner_Unpublished,English
580,010620-J,5.11430527,M,CP,59,Schneider_Barner_Unpublished,English
581,11120-B,3.279945243,M,1,1,Schneider_Barner_Unpublished,English
582,11120-W,5.856262834,M,CP,59,Schneider_Barner_Unpublished,English
583,011620-EP,3.794661191,F,3,8,Schneider_Barner_Unpublished,English
584,011620-OC,3.950718686,F,CP,10,Schneider_Barner_Unpublished,English
585,011620-BT,4.90349076,F,4,16,Schneider_Barner_Unpublished,English
586,011620-TR,3.411362081,M,3,10,Schneider_Barner_Unpublished,English
587,011620-CF,4.128678987,F,4,19,Schneider_Barner_Unpublished,English
588,011620-AA,5.032169747,M,CP,11,Schneider_Barner_Unpublished,English
589,011620-EM,4.224503765,F,CP,20,Schneider_Barner_Unpublished,English
590,011620-EC,4.377823409,F,5,11,Schneider_Barner_Unpublished,English
591,011620-EB,4.20807666,M,4,17,Schneider_Barner_Unpublished,English
592,011620-AM,4.432580424,F,CP,19,Schneider_Barner_Unpublished,English
593,011620-AH,4.240930869,M,CP,25,Schneider_Barner_Unpublished,English
594,011620-CH,3.247091034,F,CP,11,Schneider_Barner_Unpublished,English
595,011620-BA,3.794661191,M,2,4,Schneider_Barner_Unpublished,English
596,011820-EL,5.544147844,F,CP,89,Schneider_Barner_Unpublished,English
597,010620-A,4.881587953,F,CP,12,Schneider_Barner_Unpublished,English
598,020420-JZ,3.863107461,F,1,13,Schneider_Barner_Unpublished,English
599,020420-DL,3.953456537,M,0,8,Schneider_Barner_Unpublished,English
600,020420-JB,4.191649555,M,3,6,Schneider_Barner_Unpublished,English
601,020420-FRJ,4.114989733,F,3,16,Schneider_Barner_Unpublished,English
602,020420-EMH,4.027378508,F,1,10,Schneider_Barner_Unpublished,English
603,020420-MK,4.542094456,F,2,29,Schneider_Barner_Unpublished,English
604,020420-MV,4.947296372,M,CP,18,Schneider_Barner_Unpublished,English
605,020420-AS,5.152635181,F,CP,48,Schneider_Barner_Unpublished,English
606,020420-JB,3.613963039,F,2,10,Schneider_Barner_Unpublished,English
607,020420-ZL,4.999315537,F,CP,19,Schneider_Barner_Unpublished,English
608,020420-EC,4.687200548,F,CP,30,Schneider_Barner_Unpublished,English
609,020420-GM,3.575633128,F,4,9,Schneider_Barner_Unpublished,English
610,020420-EM,3.701574264,M,3,10,Schneider_Barner_Unpublished,English
611,020420-AH,3.917864476,F,1,6,Schneider_Barner_Unpublished,English
612,020420-DE,3.805612594,M,3,6,Schneider_Barner_Unpublished,English
613,020420-NN,3.975359343,M,2,6,Schneider_Barner_Unpublished,English
614,020420-SJ,3.975359343,F,0,5,Schneider_Barner_Unpublished,English
615,020420-AM,3.709787817,F,0,10,Schneider_Barner_Unpublished,English
616,020620-SP,5.303216975,F,CP,11,Schneider_Barner_Unpublished,English
617,020620-CVC,5.451060917,M,CP,29,Schneider_Barner_Unpublished,English
618,020620-ES,4.646132786,F,CP,39,Schneider_Barner_Unpublished,English
619,020620-PT,4.637919233,F,CP,16,Schneider_Barner_Unpublished,English
620,020620-AO,5.401779603,F,CP,29,Schneider_Barner_Unpublished,English
621,020620-DH,4.114989733,M,CP,12,Schneider_Barner_Unpublished,English
622,020620-TS,3.950718686,F,4,14,Schneider_Barner_Unpublished,English
623,020620-TC,4.435318275,M,CP,11,Schneider_Barner_Unpublished,English
624,020620-LH,4.76386037,M,CP,29,Schneider_Barner_Unpublished,English
625,020620-SJ,4.344969199,M,CP,10,Schneider_Barner_Unpublished,English
626,020620-KH,5.07871321,F,CP,29,Schneider_Barner_Unpublished,English
627,020620-CD,4.284736482,F,CP,10,Schneider_Barner_Unpublished,English
628,020620-LM,4.062970568,M,5,29,Schneider_Barner_Unpublished,English
629,020620-JFM,4.325804244,M,CP,100,Schneider_Barner_Unpublished,English
630,020720-J,3.882272416,M,4,30,Schneider_Barner_Unpublished,English
631,020720-AM,3.956194387,F,2,14,Schneider_Barner_Unpublished,English
632,020720-M,5.544147844,F,CP,100,Schneider_Barner_Unpublished,English
633,020720-Q ,4.922655715,F,CP,22,Schneider_Barner_Unpublished,English
634,020720-TS,3.956194387,M,CP,6,Schneider_Barner_Unpublished,English
635,022920-LW,3.904175222,M,1,9,Schneider_Barner_Unpublished,English
636,030120-LA,3.942505133,F,CP,15,Schneider_Barner_Unpublished,English
637,030120-BC,3.008898015,M,4,9,Schneider_Barner_Unpublished,English
638,030120-KK,3.969883641,F,2,7,Schneider_Barner_Unpublished,English
639,030120-E,3.611225188,F,ChangeMe,NA,Schneider_Barner_Unpublished,English
640,030120-TM,3.813826146,M,2,4,Schneider_Barner_Unpublished,English
641,030120-JG,2.770704997,M,CP,20,Schneider_Barner_Unpublished,English
642,030120-CW,3.23340178,F,4,30,Schneider_Barner_Unpublished,English
643,030320-AS,3.978097194,M,3,12,Schneider_Barner_Unpublished,English
644,030320-LL,3.403148528,F,4,20,Schneider_Barner_Unpublished,English
645,030320-CR,3.704312115,F,3,23,Schneider_Barner_Unpublished,English
646,030320-HK,3.909650924,F,CP,12,Schneider_Barner_Unpublished,English
647,030320-HO,3.641341547,M,CP,21,Schneider_Barner_Unpublished,English
648,121119-K,5.45927447,M,NA,50,Schneider_Barner_Unpublished,English
649,121119-B,6.913073238,F,NA,60,Schneider_Barner_Unpublished,English
650,030720-MK,3.356605065,F,3,15,Schneider_Barner_Unpublished,English
651,030720-M,3.490759754,M,2,10,Schneider_Barner_Unpublished,English
652,030720-JP,3.277207392,F,1,NA,Schneider_Barner_Unpublished,English
653,031020-O,3.403148528,F,3,6,Schneider_Barner_Unpublished,English
654,031020-A,4.073921971,F,5,11,Schneider_Barner_Unpublished,English
655,031020-D,3.734428474,M,2,8,Schneider_Barner_Unpublished,English
656,031020-H,3.288158795,F,3,12,Schneider_Barner_Unpublished,English
657,031020-BN,4.5229295,M,4,12,Schneider_Barner_Unpublished,English
658,031020-AH,3.279945243,F,2,10,Schneider_Barner_Unpublished,English
659,Sol01,NA,NA,NA,29,Schneider_Barner_2020,Slovenian
660,21062018-A,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
661,21062018E,NA,NA,NA,140,Schneider_Barner_2020,Slovenian
662,21062018IZ,NA,NA,NA,53,Schneider_Barner_2020,Slovenian
663,21062018IL,NA,NA,NA,17,Schneider_Barner_2020,Slovenian
664,21062018Ž,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
665,21062018J,NA,NA,NA,28,Schneider_Barner_2020,Slovenian
666,Sol02,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
667,Sol03,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
668,Sol04,NA,NA,NA,29,Schneider_Barner_2020,Slovenian
669,Sol05,NA,NA,NA,18,Schneider_Barner_2020,Slovenian
670,Sol06,NA,NA,NA,3,Schneider_Barner_2020,Slovenian
671,Naj01,NA,NA,NA,29,Schneider_Barner_2020,Slovenian
672,Naj02,NA,NA,NA,69,Schneider_Barner_2020,Slovenian
673,Naj03,NA,NA,NA,46,Schneider_Barner_2020,Slovenian
674,Naj04,NA,NA,NA,20,Schneider_Barner_2020,Slovenian
675,Naj05,NA,NA,NA,70,Schneider_Barner_2020,Slovenian
676,Naj06,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
677,Naj07,NA,NA,NA,47,Schneider_Barner_2020,Slovenian
678,Naj08,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
679,21062018-DV,NA,NA,NA,27,Schneider_Barner_2020,Slovenian
680,21062018-TE,NA,NA,NA,20,Schneider_Barner_2020,Slovenian
681,21062018-U,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
682,21062018-PD,NA,NA,NA,64,Schneider_Barner_2020,Slovenian
683,22062018-LV,NA,NA,NA,4,Schneider_Barner_2020,Slovenian
684,22062018-MA,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
685,22062018-ER,NA,NA,NA,140,Schneider_Barner_2020,Slovenian
686,22062018-DA,NA,NA,NA,64,Schneider_Barner_2020,Slovenian
687,28062018-L,NA,NA,NA,76,Schneider_Barner_2020,Slovenian
688,28062018-E,NA,NA,NA,58,Schneider_Barner_2020,Slovenian
689,28062018-M,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
690,29062018-P,NA,NA,NA,8,Schneider_Barner_2020,Slovenian
691,29062018-N,NA,NA,NA,79,Schneider_Barner_2020,Slovenian
692,Cv01,NA,NA,NA,32,Schneider_Barner_2020,Slovenian
693,Cv03,NA,NA,NA,32,Schneider_Barner_2020,Slovenian
694,Cv04,NA,NA,NA,18,Schneider_Barner_2020,Slovenian
695,Naj11,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
696,Naj12,NA,NA,NA,43,Schneider_Barner_2020,Slovenian
697,Naj13,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
698,Naj15,NA,NA,NA,5,Schneider_Barner_2020,Slovenian
699,Cv13,NA,NA,NA,28,Schneider_Barner_2020,Slovenian
700,Cv12,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
701,Cv11,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
702,30062018-T,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
703,10072018-V,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
704,10072018-D,NA,NA,NA,69,Schneider_Barner_2020,Slovenian
705,10072018-J,NA,NA,NA,5,Schneider_Barner_2020,Slovenian
706,10072018-A,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
707,11072018-M,NA,NA,NA,69,Schneider_Barner_2020,Slovenian
708,11072018-J,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
709,11072018-V,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
710,11072018-JU,NA,NA,NA,5,Schneider_Barner_2020,Slovenian
711,11072018-T,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
712,12072018-M,NA,NA,NA,7,Schneider_Barner_2020,Slovenian
713,12072018-J,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
714,Cv21,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
715,18072018-B,NA,NA,NA,5,Schneider_Barner_2020,Slovenian
716,18072018-IZ,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
717,18072018-G,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
718,Vip01,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
719,Vip04,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
720,Vip05,NA,NA,NA,8,Schneider_Barner_2020,Slovenian
721,18072018-D,NA,NA,NA,109,Schneider_Barner_2020,Slovenian
722,19072018-T,NA,NA,NA,9,Schneider_Barner_2020,Slovenian
723,19072018-E,NA,NA,NA,140,Schneider_Barner_2020,Slovenian
724,19072018-B,NA,NA,NA,28,Schneider_Barner_2020,Slovenian
725,20072018-Z,NA,NA,NA,4,Schneider_Barner_2020,Slovenian
726,Sol21,NA,NA,NA,19,Schneider_Barner_2020,Slovenian
727,RT01,NA,NA,NA,30,Schneider_Barner_2020,Slovenian
728,RT02,NA,NA,NA,39,Schneider_Barner_2020,Slovenian
729,RT03,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
730,RT04,NA,NA,NA,32,Schneider_Barner_2020,Slovenian
731,RT05,NA,NA,NA,48,Schneider_Barner_2020,Slovenian
732,RT06,NA,NA,NA,29,Schneider_Barner_2020,Slovenian
733,RT07,NA,NA,NA,31,Schneider_Barner_2020,Slovenian
734,RT08,NA,NA,NA,43,Schneider_Barner_2020,Slovenian
735,RT09,NA,NA,NA,20,Schneider_Barner_2020,Slovenian
736,05112018-ZA,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
737,05112018-T,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
738,SP02,NA,NA,NA,18,Schneider_Barner_2020,Slovenian
739,SP03,NA,NA,NA,28,Schneider_Barner_2020,Slovenian
740,Sol50,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
741,12112018-TM,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
742,Sol53,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
743,SP10,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
744,SP12,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
745,SP13,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
746,SP14,NA,NA,NA,13,Schneider_Barner_2020,Slovenian
747,SP15,NA,NA,NA,32,Schneider_Barner_2020,Slovenian
748,SP16,NA,NA,NA,10,Schneider_Barner_2020,Slovenian
749,SP20,NA,NA,NA,9,Schneider_Barner_2020,Slovenian
750,SP22,NA,NA,NA,19,Schneider_Barner_2020,Slovenian
751,SP23,NA,NA,NA,9,Schneider_Barner_2020,Slovenian
752,SP24,NA,NA,NA,5,Schneider_Barner_2020,Slovenian
753,Krom01,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
754,Krom02,NA,NA,NA,32,Schneider_Barner_2020,Slovenian
755,Krom03,NA,NA,NA,12,Schneider_Barner_2020,Slovenian
756,Krom04,NA,NA,NA,14,Schneider_Barner_2020,Slovenian
757,Krom05,NA,NA,NA,15,Schneider_Barner_2020,Slovenian
758,070218-CW-01,NA,NA,NA,10,Schneider_Barner_2020,Cantonese
759,070218-CW-02,NA,NA,NA,29,Schneider_Barner_2020,Cantonese
760,070218-CW-03,NA,NA,NA,100,Schneider_Barner_2020,Cantonese
761,070218-CW-05,NA,NA,NA,49,Schneider_Barner_2020,Cantonese
762,070218-CW-06,NA,NA,NA,47,Schneider_Barner_2020,Cantonese
763,070218-CW-08,NA,NA,NA,49,Schneider_Barner_2020,Cantonese
764,070218-CW-09,NA,NA,NA,39,Schneider_Barner_2020,Cantonese
765,070218-CW-10,NA,NA,NA,19,Schneider_Barner_2020,Cantonese
